Status_des_Girokontos,Dauer_in_Monaten,Kreditgeschichte,Kreditverwendungszweck,Kreditbetrag,Sparkonto_Wertpapiere,Beschäftigt_seit,Ratenhöhe,Familienstand_Geschlecht,Weitere_Bürgen_Schuldner,Wohnsitzdauer,Vermögen,Alter,Andere_Ratenverpflichtungen,Wohnsituation,Anzahl_bestehender_Kredite,Beruf,Unterhaltspflichtige_Personen,Telefon,Ausländischer_Arbeiter,Ziel
... < 0 DM,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1169,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,67,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,5951,... < 100 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,22,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,2096,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,keine,3,Immobilie,49,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
... < 0 DM,42,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,7882,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : ledig,Bürge,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,45,Keine,kostenlos,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... < 0 DM,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (neu),4870,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,53,Keine,kostenlos,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,9055,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,2,männlich : ledig,keine,4,unbekannt/kein Eigentum,35,Keine,kostenlos,1,ungelernt - ansässig,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2835,500 <= ... < 1000 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,53,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),6948,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",35,Keine,Miete,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3059,.. >= 1000 DM,4 <= ... < 7 Jahre,2,männlich : geschieden/getrennt,keine,4,Immobilie,61,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,30,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),5234,... < 100 DM,arbeitslos,4,männlich : verheiratet/witwer,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1295,... < 100 DM,... < 1 Jahr,3,weiblich : geschieden/getrennt/verheiratet,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,4308,... < 100 DM,... < 1 Jahr,3,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,24,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1567,... < 100 DM,1 <= ... < 4 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",22,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1199,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",60,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
