profile_index,Kreditbetrag,Dauer_in_Monaten,Alter,Status_des_Girokontos,Beschäftigt_seit,Sparkonto_Wertpapiere
0,0.733,0.809,0.8035,0.806,0.738,0.7965
1,0.224,0.6785,0.2585,0.1795,0.2375,0.1825
2,0.176,0.13,0.256,0.1755,0.2405,0.186
3,0.8185,0.863,0.7285,0.811,0.7515,0.8115
4,0.373,0.4955,0.0775,0.1895,0.239,0.181
5,0.2,0.208,0.1185,0.1855,0.2445,0.187
6,0.3795,0.556,0.3125,0.1805,0.245,0.1805
7,0.815,0.9015,0.964,0.822,0.767,0.825
8,0.819,0.9115,0.712,0.8205,0.755,0.813
9,0.715,0.613,0.904,0.809,0.7515,0.805
